vectorizer,dim_reduction,n_comp,K,collapsed,alg,CHI,DBI,SIL,CV_COHERENCE,NPMI_COHERENCE,top_keywords
tfidf,SVD,5,7,False,KMeans,121.22979418943639,1.068269107957789,0.44736232225208095,0.35800953788464207,-0.4332115660319846,"{0: ['debiased machine learn', 'average treatment effect', 'double machine learn', 'doubly robust'], 1: ['statistical physic', 'statistical mechanic', 'statistical learning', 'kernel method'], 2: ['random forest', 'ml model', 'post processing', 'covid 19'], 3: ['anomaly detection', 'statistical test', 'concept drift', 'conformal prediction'], 4: ['dp sgd', 'quantile regression', 'privacy preserve', 'differentially private stochastic'], 5: ['statistic machine learning', 'model selection', 'jko scheme', 'rank function'], 6: ['data valuation', 'prediction error', 'image quality', 'miss data']}"
tfidf,SVD,5,7,False,Agglomerative,92.17260182676905,0.956031297711287,0.3970603779220961,0.30419056589254545,-0.40462683885416045,"{0: ['causal effect', 'double machine learn', 'debiased machine learn', 'causal inference'], 1: ['neural network', 'statistic machine learning', 'statistical physic', 'statistical property'], 2: ['random forest', 'ml model', 'machine learn ml', 'post processing'], 3: ['dp sgd', 'official statistic', 'privacy preserve', 'quantile regression'], 4: ['quantum learn', 'vqc mlpnet', 'nonequilibrium fluctuation', 'si pqc'], 5: ['data valuation', 'statistical test', 'conformal prediction', 'performance metric'], 6: ['mirror statistic', 'false discovery rate', 'feature selection', 'sfs da']}"
tfidf,SVD,5,8,False,FCM,92.04410192467986,1.3832562026556334,0.34411712284330803,0.3687128657601927,-0.3918824734118098,"{0: ['differential privacy', 'differentially private', 'sufficient statistic', 'rank function'], 1: ['carbon emission', 'machine learning statistical', 'nhanes gcp', 'mobile phone'], 2: ['feature selection', 'anomaly detection', 'statistical test', 'concept drift'], 3: ['post processing', 'covid 19', 'survival model', 'random forest'], 4: ['statistical mechanic', 'statistical learning', 'kernel method', 'learning theory'], 5: ['variable importance', 'jko scheme', 'asymptotic normality', 'propose method'], 6: ['data valuation', 'conformal prediction', 'image quality', 'model uncertainty'], 7: ['debiased machine learn', 'average treatment effect', 'double machine learn', 'causal inference']}"
tfidf,SVD,5,8,False,KMeans,115.35904928875445,1.0496369798727176,0.45640374254574456,0.3033804233731979,-0.41720544147056104,"{0: ['causal effect', 'debiased machine learn', 'average treatment effect', 'double machine learn'], 1: ['double descent', 'prediction error', 'change data source', 'statistical property'], 2: ['random forest', 'post processing', 'covid 19', 'survival model'], 3: ['statistic machine learning', 'jko scheme', 'rank function', 'persistent homology'], 4: ['statistical mechanic', 'statistical physic', 'quantum machine learn', 'quantum circuit'], 5: ['dp sgd', 'official statistic', 'privacy preserve', 'quantile regression'], 6: ['anomaly detection', 'feature selection', 'mirror statistic', 'propose method'], 7: ['data valuation', 'conformal prediction', 'performance metric', 'ml model']}"
tfidf,SVD,5,8,False,Agglomerative,92.55085328169494,0.9578518681165542,0.37462476871796574,0.35650220186867243,-0.39790430257038045,"{0: ['random forest', 'ml model', 'machine learn ml', 'machine learn model'], 1: ['neural network', 'statistic machine learning', 'statistical physic', 'statistical property'], 2: ['causal effect', 'average treatment effect', 'causal inference', 'double machine learn'], 3: ['valid inference', 'debiased machine learn', 'genetic relatedness', 'asymptotic normality'], 4: ['quantum learn', 'si pqc', 'nonequilibrium fluctuation', 'quantum data'], 5: ['data valuation', 'statistical test', 'conformal prediction', 'anomaly detection'], 6: ['mirror statistic', 'false discovery rate', 'feature selection', 'sfs da'], 7: ['dp sgd', 'official statistic', 'quantile regression', 'privacy preserve']}"
tfidf,SVD,5,9,False,FCM,95.96389058638177,1.2885922101841631,0.3543238995680762,0.32809109827725547,-0.39606732706474124,"{0: ['statistical mechanic', 'kernel method', 'statistical learning', 'quantum machine learn'], 1: ['crime linkage', 'nhanes gcp', 'artificial intelligence', 'rashomon effect'], 2: ['feature selection', 'anomaly detection', 'statistical test', 'concept drift'], 3: ['post processing', 'covid 19', 'survival model', 'time series'], 4: ['double descent', 'jko scheme', 'rank function', 'statistic machine learning'], 5: ['finite sample', 'variable importance', 'asymptotic normality', 'genetic relatedness'], 6: ['differential privacy', 'official statistic', 'sufficient statistic', 'dp sgd'], 7: ['data valuation', 'sample size', 'image quality', 'model uncertainty'], 8: ['debiased machine learn', 'average treatment effect', 'double machine learn', 'causal inference']}"
tfidf,SVD,5,9,False,KMeans,111.55418488742865,1.1347284331925336,0.41774288995019226,0.3593592416340795,-0.41516242540023884,"{0: ['causal effect', 'debiased machine learn', 'average treatment effect', 'double machine learn'], 1: ['double descent', 'change data source', 'statistical property', 'artificial intelligence'], 2: ['statistical analysis', 'machine learn ml', 'ml model', 'statistical framework'], 3: ['statistic machine learning', 'jko scheme', 'rank function', 'persistent homology'], 4: ['statistical mechanic', 'statistical physic', 'quantum circuit', 'quantum machine learn'], 5: ['dp sgd', 'official statistic', 'privacy preserve', 'differentially private stochastic'], 6: ['anomaly detection', 'feature selection', 'mirror statistic', 'propose method'], 7: ['data valuation', 'conformal prediction', 'confidence interval', 'image quality'], 8: ['post processing', 'covid 19', 'survival model', 'time series']}"
tfidf,SVD,5,9,False,Agglomerative,82.80099736100395,0.9559472720148933,0.3304294750798281,0.37400219229996284,-0.3946187706246891,"{0: ['neural network', 'statistic machine learning', 'statistical physic', 'statistical property'], 1: ['machine learning model', 'random forest', 'statistical model', 'machine learn model'], 2: ['causal effect', 'average treatment effect', 'causal inference', 'double machine learn'], 3: ['causal feature selection', 'multidata causal', 'robust feature', 'post treatment'], 4: ['quantum learn', 'si pqc', 'vqc mlpnet', 'quantum data'], 5: ['data valuation', 'statistical test', 'sample size', 'real world'], 6: ['mirror statistic', 'false discovery rate', 'feature selection', 'sfs da'], 7: ['dp sgd', 'privacy preserve', 'quantile regression', 'differentially private stochastic'], 8: ['valid inference', 'finite sample', 'debiased machine learn', 'genetic relatedness']}"
tfidf,SVD,5,10,False,FCM,86.16713930257437,1.278875795735184,0.343076028076117,0.3330033381673585,-0.4280845039592861,"{0: ['statistical mechanic', 'quantum circuit', 'quantum machine learn', 'mean field limit'], 1: ['post processing', 'covid 19', 'survival model', 'co2 emission'], 2: ['differential privacy', 'sufficient statistic', 'statistic machine learning', 'rank function'], 3: ['miss data', 'machine learning approach', 'nhanes gcp', 'crime linkage'], 4: ['statistical physic', 'double descent', 'statistical property', 'artificial intelligence'], 5: ['anomaly detection', 'statistical test', 'feature selection', 'mirror statistic'], 6: ['image quality', 'feature selection', 'dynamic prediction', 'model uncertainty'], 7: ['data valuation', 'conformal prediction', 'performance metric', 'training set'], 8: ['finite sample', 'variable importance', 'asymptotic normality', 'multi source'], 9: ['debiased machine learn', 'average treatment effect', 'double machine learn', 'causal inference']}"
tfidf,SVD,5,10,False,KMeans,110.60212778237063,1.0744325147123728,0.43226350100692057,0.3193331481081461,-0.442781470523035,"{0: ['causal effect', 'debiased machine learn', 'average treatment effect', 'double machine learn'], 1: ['statistical physic', 'double descent', 'statistical property', 'artificial intelligence'], 2: ['predictive performance', 'dynamic prediction', 'model uncertainty', 'machine learn ml'], 3: ['statistic machine learning', 'jko scheme', 'rank function', 'persistent homology'], 4: ['statistical mechanic', 'quantum machine learn', 'quantum circuit', 'mean field limit'], 5: ['dp sgd', 'official statistic', 'privacy preserve', 'quantile regression'], 6: ['anomaly detection', 'feature selection', 'mirror statistic', 'propose method'], 7: ['data valuation', 'conformal prediction', 'confidence interval', 'image quality'], 8: ['post processing', 'covid 19', 'survival model', 'co2 emission'], 9: ['carbon emission', 'miss data', 'machine learning approach', 'regression model']}"
tfidf,SVD,5,10,False,Agglomerative,87.82058096495673,0.998029344946308,0.3559612722960326,0.3627557150077024,-0.38535584074081686,"{0: ['statistic machine learning', 'rank function', 'jko scheme', 'persistent homology'], 1: ['statistical physic', 'neural network', 'statistical mechanic', 'kernel method'], 2: ['average treatment effect', 'causal inference', 'double machine learn', 'heterogeneous treatment effect'], 3: ['causal feature selection', 'multidata causal', 'post treatment', 'lung cancer'], 4: ['machine learning model', 'random forest', 'statistical model', 'statistical machine learning'], 5: ['data valuation', 'statistical test', 'sample size', 'real world'], 6: ['mirror statistic', 'false discovery rate', 'feature selection', 'sfs da'], 7: ['dp sgd', 'official statistic', 'privacy preserve', 'differentially private stochastic'], 8: ['valid inference', 'finite sample', 'debiased machine learn', 'genetic relatedness'], 9: ['quantum learn', 'vqc mlpnet', 'quantum data', 'si pqc']}"
