vectorizer,dim_reduction,n_comp,K,collapsed,alg,CHI,DBI,SIL,CV_COHERENCE,NPMI_COHERENCE,top_keywords,rank_SIL,rank_CHI,rank_DBI,rank_CV,rank_NPMI,rank_total
sentence-transformers/all-MiniLM-L6-v2,UMAP,10,6,False,Agglomerative,105.21460723876953,0.9877355370686463,0.4729740023612976,0.3848083905625798,-0.2893259706060078,"{0: ['causal effect', 'causal inference', 'sample size', 'high dimensional'], 1: ['differentially private', 'differential privacy', 'statistical inference', 'data analysis'], 2: ['statistical inference', 'official statistic', 'anomaly detection', 'variable importance'], 3: ['quantum learn', 'high order statistic', 'negative dependence', 'nonequilibrium fluctuation'], 4: ['post processing', 'covid 19', 'carbon emission', 'regression model'], 5: ['expect point', 'predictive performance', 'sport analytics', 'match prediction']}",26.0,155.0,46.0,63.0,43.0,333.0
allenai/scibert_scivocab_uncased,UMAP,5,3,False,KMeans,159.15237426757812,1.1813409614732382,0.4832855761051178,0.35613387547329145,-0.3081350347214278,"{0: ['real world', 'statistical physic', 'data valuation', 'data science'], 1: ['statistical inference', 'propose method', 'finite sample', 'real world'], 2: ['post processing', 'carbon emission', 'prediction model', 'co2 emission']}",16.0,2.0,145.0,106.5,71.5,341.0
allenai/scibert_scivocab_uncased,UMAP,10,3,False,KMeans,149.54330444335938,1.2125385970230902,0.5100019574165344,0.35613387547329145,-0.3081350347214278,"{0: ['real world', 'statistical physic', 'data valuation', 'data science'], 1: ['statistical inference', 'propose method', 'finite sample', 'real world'], 2: ['post processing', 'carbon emission', 'prediction model', 'co2 emission']}",7.0,3.0,186.0,106.5,71.5,374.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,15,15,False,KMeans,124.6331558227539,0.9659810487811096,0.5140936970710754,0.29523519322877234,-0.30716370896886763,"{0: ['survival model', 'image quality', 'dynamic prediction', 'ai ml'], 1: ['statistical physic', 'double descent', 'bayesian inference', 'bayes error'], 2: ['post processing', 'covid 19', 'carbon emission', 'co2 emission'], 3: ['debiased machine learn', 'cg dro', 'distributionally robust optimization', 'sig mmd'], 4: ['expect point', 'sport analytics', 'win point', 'american football'], 5: ['pile score', 'energy statistic', 'particle physic', 'signal agnostic'], 6: ['prediction error', 'variable importance measure', 'importance weighting', 'random design'], 7: ['anomaly detection', 'data valuation', 'concept drift', 'data shapley'], 8: ['feature selection', 'mirror statistic', 'false discovery rate', 'sample test'], 9: ['optimal transport', 'jko scheme', 'rank function', 'persistent homology'], 10: ['covariate adjustment', 'propose method', 'miss data', 'machine learn method'], 11: ['dp sgd', 'synthetic data', 'quantile regression', 'privacy preserve'], 12: ['quantum learn', 'high order statistic', 'negative dependence', 'si pqc'], 13: ['causal inference', 'double machine learn', 'cmr estimator', 'dml cmr'], 14: ['conformal prediction', 'performance metric', 'model uncertainty', 'uncertainty quantification']}",4.0,52.0,34.0,307.0,70.0,467.0
tfidf,SVD,5,5,False,FCM,117.0697054839938,1.242891094848158,0.4509091918029428,0.5278561148604187,-0.3192328747438797,"{0: ['causal effect', 'debiased machine learn', 'average treatment effect', 'causal inference'], 1: ['differentially private', 'differential privacy', 'confidence interval', 'sufficient statistic'], 2: ['feature selection', 'anomaly detection', 'variable importance', 'conformal prediction'], 3: ['random forest', 'post processing', 'covid 19', 'black box'], 4: ['statistical physic', 'statistical mechanic', 'statistical learning', 'artificial intelligence']}",48.0,85.0,239.0,4.0,92.0,468.0
