dataset,vectorizer,dim_reduction,n_comp,K,alg,CHI,DBI,SIL,CV_COHERENCE,NPMI_COHERENCE,top_keywords
CS,sentence-transformers/all-MiniLM-L6-v2,UMAP,10,3,KMeans,310.290985,1.024360,0.585291,0.476117,-0.272126,"{0: ['adversarial attack', 'adversarial example', 'neural network', 'instruction follow'], 1: ['responsible ai', 'ai development', 'ai governance', 'user trust'], 2: ['clinical reasoning', 'cross modal', 'medical imaging', 'medical image segmentation']}"
PHYS,sentence-transformers/all-MiniLM-L6-v2,UMAP,15,10,KMeans,129.480255,1.071441,0.511686,0.459188,-0.267792,"{0: ['quantum simulator', 'quantum simulation', 'quantum computer', 'digital quantum'], 1: ['zhang rice', 'quantum material', 'optical excitation', 'light induce'], 2: ['quantum spin liquid', 'liquid crystal', 'fermi surface', 'finite momentum'], 3: ['flat band', 'band structure', '1t ta', 'heavy fermion'], 4: ['high pressure', 'superconducting property', 'ambient pressure', 'cu dope'], 5: ['kagome metal', 'charge density wave', 'superconducting state', 'density wave cdw'], 6: ['topological superconductivity', 'majorana zero mode', 'zero energy', 'majorana quasiparticle'], 7: ['critical temperature', 'time reversal symmetry', 'vortex lattice', 'type ii'], 8: ['hubbard model', 'repulsive interaction', 'mott insulator', 'pair mechanism'], 9: ['superconducting circuit', 'washboard potential', 'driven dissipative', 'hopping strength']}"
MATH,sentence-transformers/all-MiniLM-L6-v2,UMAP,5,4,FCM,406.232391,0.917180,0.576935,0.739944,-0.212912,"{0: ['fluid dynamic cfd', 'reduced order model', 'reduce order model', 'traffic capacity'], 1: ['surrogate model', 'fluid dynamic cfd', 'data driven', 'high fidelity'], 2: ['transport noise', 'stochastic transport', 'stochastic flow', 'transport equation'], 3: ['global posedness', 'sobolev space', 'boundary layer', 'existence solution']}"
EESS,sentence-transformers/all-MiniLM-L6-v2,UMAP,15,9,Agglomerative,145.653366,0.937027,0.486276,0.471749,-0.217433,"{0: ['multi scale', '3d medical image', 'encoder decoder', 'vision transformer'], 1: ['machine learn', 'medical image classification', 'lung cancer', 'chest ray'], 2: ['fusion super resolution', 'tfs diff', 'tri modal medical', 'hybrid quantum machine'], 3: ['generative adversarial network', 'medical image synthesis', 'medical image translation', '3d medical image'], 4: ['cross modality', 'fusion method', 'medical image fusion', 'mri image'], 5: ['medical image compression', 'medical data', 'significant bit', 'continual learning'], 6: ['foundation model', 'sam medical image', 'segment model sam', 'segmentation task'], 7: ['diffusion process', 'diffusion segmentation', 'generative model', 'image synthesis'], 8: ['medical image registration', 'base registration', 'deformable medical image', 'deformable image registration']}"
STAT,sentence-transformers/all-MiniLM-L6-v2,UMAP,10,6,Agglomerative,105.214607,0.987736,0.472974,0.384808,-0.289326,"{0: ['causal effect', 'causal inference', 'sample size', 'high dimensional'], 1: ['differentially private', 'differential privacy', 'statistical inference', 'data analysis'], 2: ['statistical inference', 'official statistic', 'anomaly detection', 'variable importance'], 3: ['quantum learn', 'high order statistic', 'negative dependence', 'nonequilibrium fluctuation'], 4: ['post processing', 'covid 19', 'carbon emission', 'regression model'], 5: ['expect point', 'predictive performance', 'sport analytics', 'match prediction']}"
Q_BIO,sentence-transformers/all-MiniLM-L6-v2,UMAP,10,10,Agglomerative,65.970016,0.982325,0.471244,0.437038,-0.217307,"{0: ['electrical stimulation', 'real time', 'brain dynamic', 'brain network'], 1: ['foundation model', 'model neural', 'dynamical model', 'population activity'], 2: ['encode model', 'word recognition', 'emotion recognition', 'eeg signal'], 3: ['receptive field', 'population level', 'brain body environment', 'travel wave'], 4: ['entropy production rate', 'cognitive control', 'visual rivalry', 'collective decision'], 5: ['brain criticality', 'brain network', 'intrinsic frequency', 'rest state'], 6: ['functional connectomes', 'brain function', 'structural functional', 'brain network'], 7: ['mean field', 'global oscillation', 'excitatory inhibitory', 'time scale'], 8: ['caenorhabditis elegans', 'force body', 'neuron core group', 'model variation'], 9: ['recurrent neural network', 'low dimensional', 'low rank', 'neuron model']}"
Q_FIN,sentence-transformers/all-MiniLM-L6-v2,UMAP,10,4,Agglomerative,528.420959,0.808184,0.590241,0.588879,-0.188780,"{0: ['deep reinforcement learn', 'financial time series', 'drl agent', 'portfolio allocation'], 1: ['stock price', 'indian stock market', 'portfolio design', 'return level'], 2: ['covariance matrix', 'robust optimization', 'black litterman', 'portfolio model'], 3: ['quantum computer', 'quantum algorithm', 'quantum inspire', 'base quantum']}"
ECON,sentence-transformers/all-MiniLM-L6-v2,UMAP,10,11,KMeans,123.945793,0.869383,0.592780,0.387135,-0.285966,"{0: ['systemic risk', 'impulse response', 'monetary policy shock', 'ce production function'], 1: ['causal inference', 'treatment effect', 'observational data', 'discrete time'], 2: ['foundation model', 'large language model', 'social science', 'career history'], 3: ['flight delay', 'result suggest', 'low cost carrier', 'fleet modernization'], 4: ['time series', 'short term', 'traditional econometric model', 'artificial intelligence'], 5: ['spatial econometrics', 'spatial autoregressive model', 'model spatial', 'business creation'], 6: ['rum nn', 'discrete choice model', 'network effect', 'predictive performance'], 7: ['fixed effect', 'network econometrics', 'panel data regression', 'data regression model'], 8: ['high dimensional', 'model average', 'breakdown point', 'tail index'], 9: ['nuclear energy', 'circular economy', 'dynamic connectedness', 'add agricultural sector'], 10: ['probability measure', 'limiting distribution', 'gmm estimator', 'orthogonality condition']}"
