vectorizer,dim_reduction,n_comp,K,collapsed,alg,CHI,DBI,SIL,CV_COHERENCE,NPMI_COHERENCE,top_keywords,rank_SIL,rank_CHI,rank_DBI,rank_CV,rank_NPMI,rank_total
sentence-transformers/all-MiniLM-L6-v2,UMAP,15,9,False,Agglomerative,145.6533660888672,0.9370272160213463,0.48627644777297974,0.4717491750613028,-0.2174330792942498,"{0: ['multi scale', '3d medical image', 'encoder decoder', 'vision transformer'], 1: ['machine learn', 'medical image classification', 'lung cancer', 'chest ray'], 2: ['fusion super resolution', 'tfs diff', 'tri modal medical', 'hybrid quantum machine'], 3: ['generative adversarial network', 'medical image synthesis', 'medical image translation', '3d medical image'], 4: ['cross modality', 'fusion method', 'medical image fusion', 'mri image'], 5: ['medical image compression', 'medical data', 'significant bit', 'continual learning'], 6: ['foundation model', 'sam medical image', 'segment model sam', 'segmentation task'], 7: ['diffusion process', 'diffusion segmentation', 'generative model', 'image synthesis'], 8: ['medical image registration', 'base registration', 'deformable medical image', 'deformable image registration']}",82.0,92.0,10.0,26.0,38.0,248.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,15,11,False,Agglomerative,152.78118896484375,1.0308166836162886,0.48644062876701355,0.45749220115414935,-0.19417432412207247,"{0: ['encoder decoder', '3d medical image', 'multi scale', 'vision transformer'], 1: ['generative adversarial network', 'medical image synthesis', 'medical image translation', '3d medical image'], 2: ['fusion super resolution', 'tfs diff', 'tri modal medical', 'image fusion super'], 3: ['diffusion segmentation', 'generative model', 'image synthesis', 'time step'], 4: ['semantic segmentation', 'specialist model', 'edge tpus maxwell', 'tpus maxwell gpus'], 5: ['medical image compression', 'continual learning', 'significant bit', 'medical data'], 6: ['foundation model', 'sam medical image', 'segment model sam', 'segmentation task'], 7: ['grad cam', 'large language model', 'glomia pro', 'chest ray'], 8: ['medical image registration', 'base registration', 'deformable image registration', 'deformable medical image'], 9: ['cross modality', 'fusion method', 'medical image fusion', 'mri image'], 10: ['medical image classification', 'lung cancer', 'covid 19', 'clog cd']}",81.0,86.0,55.0,32.0,31.0,285.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,15,8,False,Agglomerative,153.34591674804688,0.985971551923077,0.49666890501976013,0.4042068435766323,-0.22913194973862572,"{0: ['medical image registration', 'cross modality', 'fusion method', 'medical image fusion'], 1: ['multi scale', '3d medical image', 'encoder decoder', 'vision transformer'], 2: ['fusion super resolution', 'tfs diff', 'hybrid quantum machine', 'tri modal medical'], 3: ['generative adversarial network', 'medical image synthesis', 'medical image translation', '3d medical image'], 4: ['medical image classification', 'lung cancer', 'chest ray', 'covid 19'], 5: ['medical image compression', 'medical data', 'continual learning', 'significant bit'], 6: ['foundation model', 'sam medical image', 'segment model sam', 'label data'], 7: ['diffusion segmentation', 'generative model', 'image synthesis', 'time step']}",61.0,84.0,34.0,83.0,40.0,302.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,15,12,False,Agglomerative,156.58590698242188,1.008451784261638,0.48463740944862366,0.42964740048838007,-0.24027591565712939,"{0: ['generative adversarial network', 'medical image synthesis', 'medical image translation', '3d medical image'], 1: ['semantic segmentation', 'tpus maxwell gpus', 'edge tpus maxwell', 'specialist model'], 2: ['tfs diff', 'fusion super resolution', 'hybrid quantum machine', 'image fusion super'], 3: ['diffusion segmentation', 'generative model', 'image synthesis', 'time step'], 4: ['multi scale', 'mamba unet', 'long range dependency', 'vision transformer'], 5: ['3d medical image', '3d slicer', 'mesh reconstruction', '2d slice'], 6: ['foundation model', 'sam medical image', 'segment model sam', 'segmentation task'], 7: ['grad cam', 'machine learning', 'large language model', 'glomia pro'], 8: ['medical image registration', 'base registration', 'deformable image registration', 'deformable medical image'], 9: ['cross modality', 'fusion method', 'medical image fusion', 'mri image'], 10: ['medical image classification', 'lung cancer', 'covid 19', 'machine learning'], 11: ['medical image compression', 'continual learning', 'significant bit', 'medical data']}",85.0,76.0,43.0,58.0,46.0,308.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,10,6,False,Agglomerative,166.12350463867188,0.9101111347274964,0.4822078347206116,0.4031751462297108,-0.2849173061503362,"{0: ['medical image translation', 'medical image synthesis', 'generative model', 'image quality'], 1: ['brain tumor', 'machine learn', 'medical image classification', 'lung cancer'], 2: ['multi scale', '3d medical image', 'encoder decoder', 'vision transformer'], 3: ['foundation model', 'label data', 'segment model sam', 'sam medical image'], 4: ['medical image registration', 'base registration', 'deformable image registration', 'deformable medical image'], 5: ['medical image compression', 'medical data', 'significant bit', 'continual learning']}",90.0,64.0,4.0,88.0,81.0,327.0
