vectorizer,dim_reduction,n_comp,K,collapsed,alg,CHI,DBI,SIL,CV_COHERENCE,NPMI_COHERENCE,top_keywords,rank_SIL,rank_CHI,rank_DBI,rank_CV,rank_NPMI,rank_total
allenai/scibert_scivocab_uncased,UMAP,5,6,False,FCM,128.0043487548828,1.0754054310737076,0.49268561601638794,0.4295839811520134,-0.3121634059446708,"{0: ['majorana zero mode', 'zero energy', 'cooper pair', 'topological quantum'], 1: ['electronic structure', 'high pressure', 'pressure range', '4nb1 4ta1 xnix'], 2: ['mean field', 'fermi liquid', 'hubbard model', 'non equilibrium'], 3: ['quantum material', 'organic conductor', 'superconducting material', 'high quality'], 4: ['quantum simulator', 'quantum simulation', 'quantum computer', 'superconducting circuit'], 5: ['charge density wave', 'josephson junction', 'inversion symmetry', 'order parameter']}",44.0,70.0,54.0,170.0,183.0,521.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,5,6,False,KMeans,143.43911743164062,1.0899112068558814,0.430475115776062,0.4547551927906468,-0.29195763583711476,"{0: ['quantum simulator', 'quantum simulation', 'non hermitian', 'quantum computer'], 1: ['washboard potential', 'higgs mode', 'superconducting circuit', 'photon field'], 2: ['zero energy', 'majorana zero mode', 'topological superconductivity', 'majorana quasiparticle'], 3: ['quantum criticality', 'repulsive interaction', 'mott insulator', 'pair mechanism'], 4: ['flat band', '1t ta', 'unconventional superconductivity', 'heavy fermion'], 5: ['charge order', 'high pressure', 'superconducting transition temperature', 'room temperature']}",188.0,26.0,73.0,113.0,122.0,522.0
tfidf,UMAP,15,15,False,Agglomerative,82.1254653930664,0.946680195551462,0.49375540018081665,0.4525225034604053,-0.25748423461943987,"{0: ['high pressure', 'superconducting transition temperature', 'ambient pressure', 'electronic structure'], 1: ['hubbard model', 'mean field', 'strongly correlate', 'quantum criticality'], 2: ['quantum spin liquid', 'charge excitation', 'spin ice', 'fractionalized excitation'], 3: ['time reversal symmetry', 'heavy fermion', 'reversal symmetry break', 'phase diagram'], 4: ['van der waals', '1t ta', 'inversion symmetry', 'vdw layer'], 5: ['charge density wave', 'kagome metal', 'density wave cdw', 'cdw transition'], 6: ['zeeman field', 'quantum wire', 'spin density', 'superconducting diode effect'], 7: ['moir bulk', 'moir superlattices', 'orbital magnetism', 'tight bind'], 8: ['vortex lattice', 'electromagnetic field', 'type ii', 'vortex dynamic'], 9: ['topological superconductivity', 'majorana zero mode', 'majorana quasiparticle', 'zero energy'], 10: ['superconducting circuit', 'quantum circuit', 'edge burst', 'nontrivial topology'], 11: ['quantum simulator', 'quantum computer', 'quantum simulation', 'superconducting quantum'], 12: ['zhang rice', 'heat capacity', 'magnetic order', 'phason damp'], 13: ['non abelian quantum', 'abelian quantum metric', 'fibonacci anyons', 'superfluid weight'], 14: ['photon field', 'field induce superconductivity', 'higgs mode', 'collective excitation']}",42.0,289.0,5.0,120.0,66.0,522.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,15,5,False,KMeans,155.437744140625,1.162599167831621,0.5204436779022217,0.4208530337601989,-0.29545937311848675,"{0: ['quantum simulator', 'quantum simulation', 'non hermitian', 'quantum computer'], 1: ['hubbard model', 'quantum spin liquid', 'fermi liquid', 'mott insulator'], 2: ['topological superconductivity', 'majorana zero mode', 'zero energy', 'majorana quasiparticle'], 3: ['charge order', 'high pressure', 'room temperature', 'kagome metal'], 4: ['1t ta', 'heavy fermion', 'van der waals', 'fermi level']}",5.0,7.0,195.0,193.0,126.0,526.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,5,7,False,Agglomerative,122.02368927001953,0.9844772832419959,0.46167710423469543,0.4238934059175897,-0.2989188181421783,"{0: ['charge order', 'superconducting state', 'high pressure', 'kagome metal'], 1: ['zero energy', 'topological superconductivity', 'majorana zero mode', 'josephson junction'], 2: ['1t ta', 'unconventional superconductivity', 'fermi level', 'orbital magnetism'], 3: ['quantum simulator', 'quantum simulation', 'non hermitian', 'quantum computer'], 4: ['hubbard model', 'quantum criticality', 'repulsive interaction', 'unconventional superconductivity'], 5: ['deep learning', 'high superconductors', 'chemical composition', 'search superconductors'], 6: ['washboard potential', 'correlated quantum', 'electron photon', 'aharonov bohm cage']}",114.0,96.0,8.0,182.0,133.0,533.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,15,5,False,Agglomerative,136.3291015625,1.1076979314697284,0.4251307249069214,0.4688874094713135,-0.2910752705746601,"{0: ['hubbard model', 'charge order', 'fermi liquid', 'charge density wave'], 1: ['high pressure', 'charge order', 'high tc', 'room temperature'], 2: ['quantum material', '1t ta', 'unconventional superconductivity', 'heavy fermion'], 3: ['quantum simulator', 'quantum simulation', 'non hermitian', 'quantum computer'], 4: ['topological superconductivity', 'majorana zero mode', 'zero energy', 'majorana quasiparticle']}",198.0,41.0,105.0,82.0,121.0,547.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,15,7,False,KMeans,144.57371520996094,1.1621683301993129,0.5131014585494995,0.4405168793523277,-0.3106526286331464,"{0: ['quantum simulator', 'quantum simulation', 'non hermitian', 'quantum computer'], 1: ['quantum spin liquid', 'liquid crystal', 'washboard potential', 'hubbard model'], 2: ['hubbard model', 'quantum criticality', 'repulsive interaction', 'mott insulator'], 3: ['kagome metal', 'density wave cdw', 'kagome lattice', 'critical field'], 4: ['1t ta', 'heavy fermion', 'van der waals', 'fermi level'], 5: ['topological superconductivity', 'majorana zero mode', 'zero energy', 'majorana quasiparticle'], 6: ['high pressure', 'room temperature', 'superconducting property', 'ambient pressure']}",14.0,23.0,193.0,144.0,180.0,554.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,5,4,False,Agglomerative,106.50375366210938,1.1512148296934899,0.46037158370018005,0.5343713972077603,-0.27130473518552045,"{0: ['hubbard model', 'non abelian', 'topological superconductivity', 'zero energy'], 1: ['charge order', 'charge density wave', 'superconducting state', 'high pressure'], 2: ['high superconductors', 'deep learning', 'chemical composition', 'search superconductors'], 3: ['quantum simulator', 'quantum simulation', 'quantum computer', 'superconducting circuit']}",118.0,165.0,179.0,30.0,82.0,574.0
allenai/scibert_scivocab_uncased,UMAP,5,7,False,FCM,124.83651733398438,1.0551981199888527,0.49302026629447937,0.3805788789668405,-0.2824003915636945,"{0: ['vortex lattice', 'dipole superfluids', 'charge excitation', 'collective excitation'], 1: ['high pressure', '4nb1 4ta1 xnix', 'pressure range', 'ti1 4hf1 4nb1'], 2: ['mean field', 'quantum geometry', 'ph interaction', 'real space'], 3: ['organic conductor', 'superconducting material', 'critical parameter', 'flux pump'], 4: ['quantum simulation', 'quantum computer', 'superconducting circuit', 'digital quantum'], 5: ['inversion symmetry', 'topological superconductivity', 'josephson junction', '1t ta'], 6: ['majorana zero mode', 'zero energy', 'topological quantum', 'majorana quasiparticle']}",43.0,79.0,32.0,322.0,100.0,576.0
allenai/scibert_scivocab_uncased,UMAP,10,9,False,KMeans,117.81037139892578,1.0990673691697075,0.4649909734725952,0.42911746293586844,-0.2885861493991022,"{0: ['quantum simulator', 'quantum simulation', 'quantum computer', 'superconducting circuit'], 1: ['quantum criticality', '1t ta', 'wave superconducting', 'fermi level'], 2: ['hubbard model', 'vortex lattice', 'dipole superfluids', 'spin triplet'], 3: ['charge excitation', 'sarma state', 'spin nematic', 'non equilibrium'], 4: ['ph interaction', 'real space', 'fermi liquid', 'quantum geometry'], 5: ['ambient pressure', 'high pressure', 'electronic structure', 'pressure range'], 6: ['inversion symmetry', 'josephson junction', 'topological superconductivity', 'heavy fermion'], 7: ['quantum material', 'high quality', 'topological quantum', 'organic conductor'], 8: ['majorana zero mode', 'zero energy', 'boundary state', 'edge state']}",104.0,113.0,91.0,171.0,115.0,594.0
