vectorizer,dim_reduction,n_comp,K,collapsed,alg,CHI,DBI,SIL,CV_COHERENCE,NPMI_COHERENCE,top_keywords,rank_SIL,rank_CHI,rank_DBI,rank_CV,rank_NPMI,rank_total
sentence-transformers/all-MiniLM-L6-v2,UMAP,5,4,False,FCM,406.2323913574219,0.9171802337114622,0.5769352316856384,0.7399440378668225,-0.2129116021708085,"{0: ['fluid dynamic cfd', 'reduced order model', 'reduce order model', 'traffic capacity'], 1: ['surrogate model', 'fluid dynamic cfd', 'data driven', 'high fidelity'], 2: ['transport noise', 'stochastic transport', 'stochastic flow', 'transport equation'], 3: ['global posedness', 'sobolev space', 'boundary layer', 'existence solution']}",32.0,12.0,35.0,2.0,36.0,117.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,10,4,False,FCM,377.5399169921875,0.907755753879903,0.5863632559776306,0.6374805708937108,-0.2611160851592519,"{0: ['fluid dynamic cfd', 'reduce order model', 'traffic capacity', 'reduced order model'], 1: ['surrogate model', 'data driven', 'fluid dynamic cfd', 'machine learning'], 2: ['transport noise', 'stochastic transport', 'invariant measure', 'stochastic flow'], 3: ['global posedness', 'sobolev space', 'boundary layer', 'existence solution']}",22.0,18.0,30.0,8.0,99.0,177.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,10,4,False,Agglomerative,362.88824462890625,0.8211607195478774,0.5448210835456848,0.6972086712827336,-0.2560907950569944,"{0: ['fluid dynamic cfd', 'reduce order model', 'reduced order model', 'data driven'], 1: ['initial data', 'global posedness', 'sobolev space', 'boundary layer'], 2: ['transport noise', 'stochastic transport', 'stochastic flow', 'slow component'], 3: ['surrogate model', 'tensor train', 'high fidelity', 'machine learning']}",66.0,32.0,5.0,4.0,86.0,193.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,5,4,False,KMeans,409.91912841796875,0.8660446184815012,0.5850934386253357,0.531999819423164,-0.2659163466289609,"{0: ['fluid dynamic cfd', 'reduce order model', 'reduced order model', 'computational efficiency'], 1: ['initial data', 'global posedness', 'sobolev space', 'boundary layer'], 2: ['surrogate model', 'data driven', 'fluid dynamic cfd', 'tensor train'], 3: ['transport noise', 'stochastic transport', 'stochastic flow', 'martingale solution']}",24.0,11.0,16.0,31.0,113.0,195.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,5,5,False,Agglomerative,325.86822509765625,0.8342049184167053,0.524505615234375,0.5684462010311276,-0.23795694943574705,"{0: ['fluid dynamic cfd', 'reduce order model', 'finite volume', 'reynolds number'], 1: ['initial data', 'sobolev space', 'global posedness', 'boundary layer'], 2: ['surrogate model', 'tensor train', 'high fidelity', 'machine learning'], 3: ['transport noise', 'stochastic transport', 'stochastic flow', 'martingale solution'], 4: ['navier stokes cahn', 'stokes cahn hilliard', 'phase field model', 'cahn hilliard type']}",85.0,51.0,7.0,15.0,59.0,217.0
