vectorizer,dim_reduction,n_comp,K,collapsed,alg,CHI,DBI,SIL,CV_COHERENCE,NPMI_COHERENCE,top_keywords,rank_SIL,rank_CHI,rank_DBI,rank_CV,rank_NPMI,rank_total
sentence-transformers/all-MiniLM-L6-v2,UMAP,15,7,False,KMeans,480.58758544921875,0.9402178402187109,0.5652055144309998,0.4827519436013673,-0.274754546168308,"{0: ['stock price', 'indian stock market', 'portfolio design', 'cumulative return'], 1: ['quantum computer', 'branch bound', 'np hard', 'quantum algorithm'], 2: ['robust optimization', 'distributionally robust', 'uncertainty set', 'heavy tail'], 3: ['large language model', 'financial time series', 'cross sectional', 'return prediction'], 4: ['sparse portfolio', 'minimum variance portfolio', 'mutual fund', 'number asset'], 5: ['deep reinforcement learn', 'drl agent', 'investment strategy', 'transfer risk'], 6: ['utility function', 'stochastic factor', 'risky asset', 'price process']}",26.0,48.0,59.0,31.0,107.0,271.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,15,4,False,KMeans,537.05615234375,0.8753350155748713,0.5963891744613647,0.3785261993184821,-0.20448662970987092,"{0: ['minimum variance portfolio', 'markowitz portfolio', 'stock price', 'portfolio design'], 1: ['quantum computer', 'quantum inspire', 'quantum algorithm', 'base quantum'], 2: ['robust optimization', 'risky asset', 'uncertainty set', 'stochastic factor'], 3: ['deep reinforcement learn', 'financial time series', 'drl agent', 'market dynamic']}",13.0,27.0,25.0,196.0,26.0,287.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,15,8,False,FCM,456.83203125,0.9428782692002815,0.5468856692314148,0.4571205259659422,-0.2517198873706099,"{0: ['asset selection', 'sparse portfolio', 'minimum variance portfolio', 'mutual fund'], 1: ['financial time series', 'large language model', 'return prediction', 'deep learning model'], 2: ['deep reinforcement learn', 'drl agent', 'investment strategy', 'transfer risk'], 3: ['stock price', 'indian stock market', 'portfolio design', 'cumulative return'], 4: ['investor view', 'investment strategy', 'stock selection', 'generative ai'], 5: ['utility function', 'stochastic factor', 'risky asset', 'price process'], 6: ['risk measure', 'robust optimization', 'uncertainty set', 'distributionally robust'], 7: ['quantum computer', 'np hard', 'quantum algorithm', 'quantum inspire']}",34.0,61.0,63.0,62.0,71.0,291.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,10,11,False,KMeans,450.4703674316406,0.9100560119696653,0.5391435027122498,0.4145564601606759,-0.19595130187256482,"{0: ['transfer learning', 'return rate', 'portfolio interpolation', 'value model'], 1: ['quantum computer', 'branch bound', 'np hard', 'quantum algorithm'], 2: ['risk measure', 'robust optimization', 'uncertainty set', 'distributionally robust'], 3: ['asset selection', 'mean variance portfolio', 'sparse portfolio', 'mutual fund'], 4: ['utility function', 'stochastic factor', 'risky asset', 'price process'], 5: ['stock price', 'indian stock market', 'return level', 'portfolio design'], 6: ['deep reinforcement learn', 'reinforcement learning', 'drl agent', 'reinforcement learn algorithm'], 7: ['financial time series', 'synthetic financial data', 'deep generative model', 'use deep generative'], 8: ['time inconsistent', 'high inflation', 'jump diffusion', 'deep learning'], 9: ['stock selection', 'polymodel feature selection', 'risk adjust', 'hedge fund investment'], 10: ['time series', 'return prediction', 'large language model', 'sentiment analysis']}",45.0,65.0,42.0,120.0,21.0,293.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,15,8,False,KMeans,456.2260437011719,1.0054070110417013,0.5354114770889282,0.4592765862940946,-0.23500507255866337,"{0: ['deep reinforcement learn', 'drl agent', 'investment strategy', 'transfer risk'], 1: ['quantum computer', 'np hard', 'quantum algorithm', 'quantum inspire'], 2: ['asset selection', 'sparse portfolio', 'minimum variance portfolio', 'mutual fund'], 3: ['large language model', 'return prediction', 'financial time series', 'deep learning model'], 4: ['risk measure', 'robust optimization', 'distributionally robust', 'uncertainty set'], 5: ['stock price', 'indian stock market', 'portfolio design', 'cumulative return'], 6: ['utility function', 'stochastic factor', 'risky asset', 'price process'], 7: ['quantitative finance', 'investment strategy', 'stock selection', 'market forecast']}",50.0,62.0,99.0,56.0,49.0,316.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,5,8,False,FCM,605.1494750976562,0.9595555597624275,0.5011538863182068,0.439170285968837,-0.2276945960318253,"{0: ['sparse portfolio', 'mutual fund', 'share market', 'investor view'], 1: ['financial time series', 'large language model', 'return prediction', 'deep learning model'], 2: ['deep reinforcement learn', 'drl agent', 'investment strategy', 'transfer risk'], 3: ['stock price', 'indian stock market', 'portfolio design', 'cumulative return'], 4: ['minimum variance portfolio', 'number asset', 'semi covariance matrix', 'markowitz mean variance'], 5: ['utility function', 'stochastic factor', 'risky asset', 'price process'], 6: ['risk measure', 'robust optimization', 'distributionally robust', 'uncertainty set'], 7: ['quantum computer', 'np hard', 'quantum algorithm', 'quantum inspire']}",115.0,14.0,73.0,77.0,44.0,323.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,10,4,False,FCM,596.50244140625,0.8952540469421437,0.5931715369224548,0.3750714396983461,-0.24788204788154145,"{0: ['robust optimization', 'risky asset', 'distributionally robust', 'stochastic factor'], 1: ['deep reinforcement learn', 'financial time series', 'drl agent', 'market dynamic'], 2: ['quantum computer', 'quantum inspire', 'quantum algorithm', 'base quantum'], 3: ['minimum variance portfolio', 'markowitz portfolio', 'stock price', 'indian stock market']}",15.0,17.0,35.0,200.0,62.0,329.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,5,7,False,FCM,478.24468994140625,1.0938767962777898,0.535906195640564,0.46698405689063793,-0.22423412323800032,"{0: ['robust optimization', 'asset return', 'distributionally robust', 'heavy tail'], 1: ['deep reinforcement learn', 'deep learning', 'financial time series', 'drl agent'], 2: ['stock price', 'indian stock market', 'portfolio design', 'hierarchical risk parity'], 3: ['quantum inspire', 'simulate anneal', 'portfolio optimization quantum', 'cardinality constraint'], 4: ['quantum computer', 'quantum algorithm', 'quantum circuit', 'reserve management'], 5: ['minimum variance portfolio', 'sparse portfolio', 'mutual fund', 'high dimensional'], 6: ['utility function', 'stochastic factor', 'risky asset', 'price process']}",48.0,49.0,188.0,42.0,41.0,368.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,15,8,False,Agglomerative,423.6874694824219,0.9700407240196464,0.5059464573860168,0.4700618176253253,-0.25264505403287585,"{0: ['reinforcement learning', 'deep reinforcement learn', 'drl agent', 'investment strategy'], 1: ['minimum variance portfolio', 'asset selection', 'markowitz portfolio', 'portfolio risk'], 2: ['large language model', 'financial time series', 'high frequency', 'return prediction'], 3: ['utility function', 'stochastic factor', 'risky asset', 'price process'], 4: ['stock price', 'indian stock market', 'return level', 'portfolio design'], 5: ['robust optimization', 'risk measure', 'value risk', 'uncertainty set'], 6: ['diffusion model', 'factor structure', 'distribution information', 'generative model'], 7: ['quantum computer', 'branch bound', 'np hard', 'quantum algorithm']}",100.0,79.0,79.0,37.0,74.0,369.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,15,10,False,Agglomerative,394.860107421875,0.8920062313757275,0.5237616896629333,0.4022091467224181,-0.2670234683498488,"{0: ['large language model', 'portfolio construction', 'financial time series', 'generative model'], 1: ['stock price', 'indian stock market', 'return level', 'portfolio design'], 2: ['minimum variance portfolio', 'markowitz portfolio', 'asset selection', 'sparse portfolio'], 3: ['utility function', 'stochastic factor', 'risky asset', 'price process'], 4: ['time inconsistent', 'portfolio interpolation', 'high inflation', 'return rate'], 5: ['robust optimization', 'risk measure', 'value risk', 'uncertainty set'], 6: ['diffusion model', 'factor structure', 'distribution information', 'generative model'], 7: ['quantum computer', 'branch bound', 'np hard', 'quantum algorithm'], 8: ['deep reinforcement learn', 'reinforcement learning', 'drl agent', 'transfer risk'], 9: ['network base', 'core periphery profile', 'sr ifn', 'sign network']}",64.0,92.0,33.0,147.0,90.0,426.0
