vectorizer,dim_reduction,n_comp,K,collapsed,alg,CHI,DBI,SIL,CV_COHERENCE,NPMI_COHERENCE,top_keywords,rank_SIL,rank_CHI,rank_DBI,rank_CV,rank_NPMI,rank_total
sentence-transformers/all-MiniLM-L6-v2,UMAP,10,11,False,Agglomerative,63.49782180786133,1.0045928036050122,0.45840489864349365,0.3426118786504081,-0.30560259153469693,"{0: ['foundation model', 'dynamical model', 'population activity', 'energy landscape model'], 1: ['receptive field', 'population level', 'brain body environment', 'travel wave'], 2: ['word recognition', 'emotion recognition', 'encode model', 'eeg signal'], 3: ['mean field', 'global oscillation', 'excitatory inhibitory', 'time scale'], 4: ['entropy production rate', 'cognitive control', 'collective decision', 'visual rivalry'], 5: ['brain criticality', 'brain network', 'intrinsic frequency', 'rest state'], 6: ['functional connectomes', 'structural functional', 'brain network', 'graph theoretical measure'], 7: ['electrical stimulation', 'brain dynamic', 'feedforward feedback', 'brain emulation'], 8: ['caenorhabditis elegans', 'neuron core group', 'model variation', 'utilize modworm'], 9: ['recurrent neural network', 'low dimensional', 'low rank', 'neuron model'], 10: ['sea db', 'bio realistic', 'ai base surrogate', 'jr nmm parameter']}",116.0,179.0,31.0,163.0,72.0,561.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,5,6,False,FCM,74.86017608642578,1.208784635966311,0.5011661052703857,0.3918349402391303,-0.34439111926915555,"{0: ['excitatory inhibitory', 'mean field', 'global oscillation', 'time scale'], 1: ['brain criticality', 'long range', 'brain dynamic', 'intrinsic frequency'], 2: ['low dimensional', 'latent space', 'receptive field', 'latent representation'], 3: ['electrical stimulation', 'real time', 'brain dynamic', 'brain tumor'], 4: ['recurrent neural network', 'neuron model', 'dynamical model', 'low dimensional'], 5: ['word recognition', 'emotion recognition', 'encode model', 'eeg signal']}",38.0,107.0,225.0,69.0,134.0,573.0
tfidf,UMAP,10,10,False,Agglomerative,41.14860916137695,1.0411486095165474,0.4700506627559662,0.42084153351354725,-0.3125030217175441,"{0: ['foundation model', 'population activity', 'neural data', 'dynamical model'], 1: ['brain dynamic', 'brain network', 'brain criticality', 'brain activity'], 2: ['neuron model', 'excitatory inhibitory', 'steady state', 'spike neural network'], 3: ['brain body environment', 'neural scale', 'world model', 'spatial dynamic'], 4: ['recurrent neural network', 'low rank', 'cognitive control', 'constant time input'], 5: ['low dimensional', 'latent representation', 'cognitive process', 'sub circuit'], 6: ['sea db', 'probability distribution', 'sample complex', 'resource constrain'], 7: ['ai model', 'ai base surrogate', 'base surrogate brain', 'artificial intelligence ai'], 8: ['granger causality', 'attribution map', 'time series data', 'real time'], 9: ['transfer information', 'neural information processing', 'predictive coding', 'second order error']}",81.0,326.0,46.0,38.0,83.0,574.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,15,15,False,Agglomerative,58.698760986328125,1.0207653188169834,0.4425976574420929,0.35618430083622066,-0.30622859152204784,"{0: ['low dimensional', 'latent space', 'latent representation', 'sub circuit'], 1: ['brain criticality', 'brain network', 'intrinsic frequency', 'rest state'], 2: ['neuron model', 'low rank', 'recurrent neural network', 'spike neural network'], 3: ['eeg signal', 'emotion recognition', 'encode model', 'word recognition'], 4: ['receptive field', 'stimulus space', 'brain network', 'functional connectomes'], 5: ['energy landscape model', 'work memory decline', 'postoperative work memory', 'brain state'], 6: ['entropy production rate', 'information processing', 'collective decision', 'multi agent'], 7: ['time scale', 'discrete fractional order', 'spatial decision making', 'memory retrieval'], 8: ['caenorhabditis elegans', 'extrasynaptic signal', 'calcium dynamic muscle', 'premotor neuron'], 9: ['cognitive control', 'visual rivalry', 'constant time input', 'transfer information'], 10: ['foundation model', 'dynamical model', 'behavior guide', 'state art'], 11: ['electrical stimulation', 'real time', 'behavioral phase', 'granger causality'], 12: ['sparsity base', 'analysis reveal', 'spectral filtering', 'connectome network analysis'], 13: ['neural scale', 'respond affordances', 'minimal radical', 'behavioral scale'], 14: ['global oscillation', 'excitatory inhibitory', 'spike neuron', 'synaptic shot noise']}",152.0,200.0,37.0,120.0,75.0,584.0
allenai/scibert_scivocab_uncased,UMAP,15,3,False,FCM,97.88080596923828,1.2454496755868343,0.46795928478240967,0.46093270866154223,-0.36573641100985066,"{0: ['brain criticality', 'steady state', 'mean field', 'wilson cowan'], 1: ['rest state', 'machine learn', 'eeg signal', 'real time'], 2: ['state art', 'deep learning', 'brain region', 'neuron model']}",86.0,12.0,265.0,17.0,205.0,585.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,15,11,False,KMeans,67.31388092041016,0.983831312301178,0.5126256942749023,0.3177979701648958,-0.3504992395429597,"{0: ['brain network', 'intrinsic frequency', 'rest state', 'brain dynamic'], 1: ['latent space', 'travel wave', 'prediction error', 'constant time input'], 2: ['cognitive process', 'energy landscape model', 'work memory decline', 'postoperative work memory'], 3: ['mean field', 'global oscillation', 'excitatory inhibitory', 'time scale'], 4: ['brain criticality', 'entropy production rate', 'cognitive control', 'collective decision'], 5: ['meg fmri', 'encode model', 'foundation model', 'visual neural activity'], 6: ['recurrent neural network', 'neuron model', 'low dimensional', 'dynamical model'], 7: ['electrical stimulation', 'real time', 'brain dynamic', 'sea db'], 8: ['emotion recognition', 'word recognition', 'eeg signal', 'neural signal'], 9: ['neural forecasting', 'caenorhabditis elegans', 'extrasynaptic signal', 'switch forward reversal'], 10: ['graph learn', 'receptive field', 'brain network', 'stimulus space']}",24.0,163.0,19.0,256.0,154.0,616.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,5,5,False,Agglomerative,70.96075439453125,0.9994581140563528,0.5021870732307434,0.3462329849421014,-0.3831742031093929,"{0: ['low dimensional', 'neural data', 'recurrent neural network', 'model neural dynamic'], 1: ['mean field', 'global oscillation', 'time scale', 'network dynamic'], 2: ['brain criticality', 'electrical stimulation', 'complex value', 'multi scale'], 3: ['emotion recognition', 'encode model', 'word recognition', 'eeg signal'], 4: ['intrinsic frequency', 'noise interval', 'sleep stage', 'frequency specific']}",37.0,135.0,28.0,149.0,268.0,617.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,5,11,False,KMeans,71.90773010253906,0.9330284558449524,0.46894457936286926,0.31774242849738027,-0.348267371272652,"{0: ['brain criticality', 'intrinsic frequency', 'rest state', 'brain dynamic'], 1: ['receptive field', 'low dimensional', 'population level', 'sub circuit'], 2: ['foundation model', 'model neural', 'brain tumor', 'energy landscape model'], 3: ['mean field', 'global oscillation', 'excitatory inhibitory', 'time scale'], 4: ['entropy production rate', 'cognitive control', 'visual rivalry', 'multi agent'], 5: ['recurrent neural network', 'neuron model', 'low dimensional', 'dynamical model'], 6: ['emotion recognition', 'neural signal', 'noise interval', 'spatial resolution'], 7: ['electrical stimulation', 'real time', 'brain dynamic', 'sea db'], 8: ['encode model', 'meg fmri', 'neural scale', 'auditory stream segregation'], 9: ['caenorhabditis elegans', 'calcium dynamic muscle', 'model variation', 'force body'], 10: ['brain function', 'brain network', 'functional connectomes', 'activity function']}",84.0,128.0,2.0,257.0,147.0,618.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,15,9,False,Agglomerative,61.56108474731445,1.0896741933735872,0.4317435622215271,0.37849694640629883,-0.3176451060920615,"{0: ['low dimensional', 'receptive field', 'latent representation', 'population level'], 1: ['electrical stimulation', 'real time', 'brain dynamic', 'sea db'], 2: ['neural data', 'brain region', 'cognitive process', 'diffusion model'], 3: ['brain criticality', 'brain network', 'intrinsic frequency', 'rest state'], 4: ['mean field', 'global oscillation', 'excitatory inhibitory', 'time scale'], 5: ['neuron model', 'recurrent neural network', 'low rank', 'spike neural network'], 6: ['entropy production rate', 'collective decision', 'multi agent', 'neural information'], 7: ['eeg signal', 'emotion recognition', 'word recognition', 'encode model'], 8: ['caenorhabditis elegans', 'model variation', 'utilize modworm', 'neuron core group']}",177.0,191.0,87.0,80.0,92.0,627.0
tfidf,UMAP,10,9,False,Agglomerative,43.94038009643555,1.1092821332106455,0.46491941809654236,0.4169696013434249,-0.3142203453722188,"{0: ['signal propagation', 'brain body environment', 'information theoretic', 'neural scale'], 1: ['foundation model', 'population activity', 'neural data', 'dynamical model'], 2: ['neuron model', 'excitatory inhibitory', 'spike neural network', 'spike train'], 3: ['brain dynamic', 'brain network', 'brain criticality', 'brain activity'], 4: ['recurrent neural network', 'low rank', 'cognitive control', 'task train'], 5: ['low dimensional', 'latent representation', 'cognitive process', 'decision make'], 6: ['sea db', 'sample complex', 'probability distribution', 'epileptic brain network'], 7: ['ai model', 'ai base surrogate', 'base surrogate brain', 'artificial intelligence ai'], 8: ['granger causality', 'time series data', 'human brain', 'language production']}",95.0,301.0,109.0,41.0,85.0,631.0
